ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default
1,simple,8686777896876,Relógio Preto Masculino Digital Casio W-96h-1bvdf Original,1,0,visible,,"<h1>Relógio Preto Masculino Digital Casio W-96h-1bvdf Original</h1>

Relógio Modelo: W-96h-1B (CLASSICO PRETO COM GRAFITE)Original Com Nota Fiscal e Garantia 12 mesesRecursos• 10 anos de duração da bateria• Hora dual• Luz LED• Até 50 metros resistente à águaEspecificações• Material do corpo/anel: resina• Pulseira em Resina• Vidro Resina / Vidro Esférico• Resistente a água a até 50 m• Fundo luminoso LED, Persistência luminosa• Hora dupla• Cronômetro de 1/100 segundo• Capacidade de medição: 23:59'59.99''• Modos de medição: Tempo transcorrido, divisão de tempo, hora no 1º e 2º ponto• Alarmes multi-funcionais (1 ou 7 sonecas)• sinalização a cada hora• Calendário automático (até o ano 2099)• Formatos 12/24 horas• Horário regular: Hora, minutos, segunda, pm (post meridiem), ano, mês, data, dia• Precisão: ±30 segundos por mês• Duração da bateria: 10 anos com CR2025• Tamanho da caixa : 43,9×35,7×12,5mm• Peso total : 33g• Comprimento pulseira: 23 cmItens Incluso• Relógio• Caixa • Manual• Nota fiscal",,,none,,1,,,no,yes,,,,,no,,259,259,,,,,,,,,,,,,,,
2,simple,9687879679697,Mini Escuta Gravador Espiao Grava Voz 96h Micro Imediato Cor,1,0,visible,,"<h1>Mini Escuta Gravador Espiao Grava Voz 96h Micro Imediato Cor</h1>

MINI GRAVADOR DE VOZ ESPIÃO 8 GB DE MEMORIA (PRONTA ENTREGA)Aparelho de gravação de voz de ultima geração e alta qualidade, fácil, simples e pratico de se usar, ideal para gravar palestras, shows, entrevistas, interrogatórios e muito mais! Por ser pequeno, leve e discreto é perfeito para ser usado como um gravador espião! Aproveite nossa promoção especial e peça já o seu!ALTA QUALIDADE, PRATICIDADE E GRANDE EFICIENCIA!Este gravador de voz pode gravar mais de 12 horas de gravação continua sem interrupção, possui uma das melhores qualidades de som do mercado! Para iniciar a gravação basta acionar apenas um botão e pronto! Pause quando quiser e terá acesso as gravações quando e onde quiser, através do seu computador ou escutando diretamente no gravador utilizando o fone de ouvido que enviamos junto com o produto. Produto funciona como pen drive!CARACTERISTICAS DO PRODUTO:*8GB de Memoria;*Capacidade para armazenar até 96 horas de gravação;*Bateria suporta até 12 horas de gravação sem interrupção;*Gravação de taxa de bits: 192 kbps;GRAVADOR DE VOZ ACOMPANHA:-Fone de Ouvido;-Cabo USB;-Manual;-Caixinha Personalizada;PRODUTO ORIGINAL COM NOTA FISCAL!Não aceite réplicas e vendedores que não emitem notas fiscais, nosso gravador de voz espião é Original, acompanha Nota Fiscal, garantindo sua qualidade e boa procedência! Aparelho aprovado em todos os testes necessários para ser comercializado de forma segura e legal!PRAZO DE ENTREGAA entrega do produto é feita por transportadoras em parceria com o Mercado Livre, o tempo de entrega varia de 2 a 7 dias uteis dependendo do lugar onde o produto será entregue. Ao efetuar a compra o produto será despachado dentro de 24 horas uteis, e logo após o despacho você receberá um código de rastreio que poderá usar para acompanhar todos os processos da entrega do seu produto.* * * QUALIDADE E SEGURANÇA COM MERCADO LIVREA plataforma do mercado livre protege o comprador e vendedor, cuidando de todos os processos do seu pedido, então caso não fique satisfeito com o produto que recebeu você poderá fazer a devolução e terá todo o seu dinheiro de volta sem custo algum (de acordo com o código de defesa do consumidor).",,,none,,1,,,no,yes,,,,,no,,122,122,,,,,,,,,,,,,,,
3,simple,6669766666996,Pulseira Para Relógio W96 / W-96 / W-96h Illuminator,1,0,visible,,"<h1>Pulseira Para Relógio W96 / W-96 / W-96h Illuminator</h1>

PULSEIRA TAMBÉM COMPATÍVEL COM OS MODELOS CASIO ABAIXO: - W96, W-96, W-96h Illuminator ESPECIFICAÇÕES:Material: SiliconeFivela: Fibra O PACOTE CONTÉM:01 Pulseira01 PassadorObs: Não acompanha os pinos e o relógio ANTES DE COMPRAR:- Verifique o modelo gravado atrás do seu relógio (letras e números)- Se tem dúvidas, consulte-nos para auxiliarmos na compra INFORMAÇÕES IMPORTANTES:Os acessórios vendidos não tem nenhum vínculo com a marca fabricante do aparelho.As marcas, imagens e modelos são citados apenas para melhor compreensão dos clientes e como referência técnica para utilização correta dos produtos.Garantia do vendedor: 90 dias",,,none,,1,,,no,yes,,,,,no,,30,30,,,,,,,,,,,,,,,
4,simple,9977988966766,"Pulseira De Relógio Compatível Com Casio W96, W-96, W-96h Cor Preto",1,0,visible,,"<h1>Pulseira De Relógio Compatível Com Casio W96, W-96, W-96h Cor Preto</h1>

Pulseira Compatível Com Relógio Cásio W96, W-96, W-96hModelo: W 96Material: SiliconeFivela: FibraCor: PretaObs.: Não acompanha o relógio e os parafusosINFORMAÇÕES IMPORTANTES:Os acessórios vendidos não tem nenhum vínculo com a marca fabricante do aparelho.As marcas, imagens e modelos são citados apenas para melhor compreensão dos clientes e como referência técnica para utilização correta dos produtos.",,,none,,1,,,no,yes,,,,,no,,19,19,,,,,,,,,,,,,,,
5,simple,9769999766867,Relógio Preto Da Casio Unissex Digital W-96h-1avdf Bisel Prata Fundo LED,1,0,visible,,"<h1>Relógio Preto Da Casio Unissex Digital W-96h-1avdf Bisel Prata Fundo LED</h1>

A Casio pensa e fabrica seus produtos sob uma premissa: “a invenção é a mãe da necessidade”. Com isto, surpreende seus clientes com relógios inovadores, que se destacam no mercado por sua tecnologia e utilidade.",,,none,,1,,,no,yes,,,,,no,,247,247,,,,,,,,,,,,,,,
6,simple,8769697897799,Relógio Preto Masculino Digital Casio W-96h-1bvdf Original,1,0,visible,,"<h1>Relógio Preto Masculino Digital Casio W-96h-1bvdf Original</h1>

Relógio Modelo: W-96h-1B (CLASSICO PRETO COM GRAFITE)Original Com Nota Fiscal e Garantia 12 mesesRecursos• 10 anos de duração da bateria• Hora dual• Luz LED• Até 50 metros resistente à águaEspecificações• Material do corpo/anel: resina• Pulseira em Resina• Vidro Resina / Vidro Esférico• Resistente a água a até 50 m• Fundo luminoso LED, Persistência luminosa• Hora dupla• Cronômetro de 1/100 segundo• Capacidade de medição: 23:59'59.99''• Modos de medição: Tempo transcorrido, divisão de tempo, hora no 1º e 2º ponto• Alarmes multi-funcionais (1 ou 7 sonecas)• sinalização a cada hora• Calendário automático (até o ano 2099)• Formatos 12/24 horas• Horário regular: Hora, minutos, segunda, pm (post meridiem), ano, mês, data, dia• Precisão: ±30 segundos por mês• Duração da bateria: 10 anos com CR2025• Tamanho da caixa : 43,9×35,7×12,5mm• Peso total : 33g• Comprimento pulseira: 23 cmItens Incluso• Relógio• Caixa • Manual• Nota fiscal",,,none,,1,,,no,yes,,,,,no,,259,259,,,,,,,,,,,,,,,
7,simple,9899889786988,Mini Escuta Gravador Espiao Grava Voz 96h Micro Imediato Cor,1,0,visible,,"<h1>Mini Escuta Gravador Espiao Grava Voz 96h Micro Imediato Cor</h1>

MINI GRAVADOR DE VOZ ESPIÃO 8 GB DE MEMORIA (PRONTA ENTREGA)Aparelho de gravação de voz de ultima geração e alta qualidade, fácil, simples e pratico de se usar, ideal para gravar palestras, shows, entrevistas, interrogatórios e muito mais! Por ser pequeno, leve e discreto é perfeito para ser usado como um gravador espião! Aproveite nossa promoção especial e peça já o seu!ALTA QUALIDADE, PRATICIDADE E GRANDE EFICIENCIA!Este gravador de voz pode gravar mais de 12 horas de gravação continua sem interrupção, possui uma das melhores qualidades de som do mercado! Para iniciar a gravação basta acionar apenas um botão e pronto! Pause quando quiser e terá acesso as gravações quando e onde quiser, através do seu computador ou escutando diretamente no gravador utilizando o fone de ouvido que enviamos junto com o produto. Produto funciona como pen drive!CARACTERISTICAS DO PRODUTO:*8GB de Memoria;*Capacidade para armazenar até 96 horas de gravação;*Bateria suporta até 12 horas de gravação sem interrupção;*Gravação de taxa de bits: 192 kbps;GRAVADOR DE VOZ ACOMPANHA:-Fone de Ouvido;-Cabo USB;-Manual;-Caixinha Personalizada;PRODUTO ORIGINAL COM NOTA FISCAL!Não aceite réplicas e vendedores que não emitem notas fiscais, nosso gravador de voz espião é Original, acompanha Nota Fiscal, garantindo sua qualidade e boa procedência! Aparelho aprovado em todos os testes necessários para ser comercializado de forma segura e legal!PRAZO DE ENTREGAA entrega do produto é feita por transportadoras em parceria com o Mercado Livre, o tempo de entrega varia de 2 a 7 dias uteis dependendo do lugar onde o produto será entregue. Ao efetuar a compra o produto será despachado dentro de 24 horas uteis, e logo após o despacho você receberá um código de rastreio que poderá usar para acompanhar todos os processos da entrega do seu produto.* * * QUALIDADE E SEGURANÇA COM MERCADO LIVREA plataforma do mercado livre protege o comprador e vendedor, cuidando de todos os processos do seu pedido, então caso não fique satisfeito com o produto que recebeu você poderá fazer a devolução e terá todo o seu dinheiro de volta sem custo algum (de acordo com o código de defesa do consumidor).",,,none,,1,,,no,yes,,,,,no,,122,122,,,,,,,,,,,,,,,
